City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
269,San Cristobal,VE,77.18,scattered clouds,7.7669,-72.225,Pirineos
270,Kendari,ID,73.98,broken clouds,-3.945,122.4989,Hotel Wixel
271,Monrovia,LR,85.77,broken clouds,6.3005,-10.7969,Sunset Inn
274,Salalah,OM,78.89,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
275,Castro,BR,69.46,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
276,Teahupoo,PF,67.96,light rain,-17.8333,-149.2667,Vanira Lodge
277,Wanning,CN,81.82,overcast clouds,18.8003,110.3967,Paradise Hotel
279,Isangel,VU,74.55,overcast clouds,-19.55,169.2667,Tanna Lodge
280,Ketchikan,US,57.67,overcast clouds,55.3422,-131.6461,Snow's Cove Lodge
281,Port Lincoln,AU,55.13,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
282,Caravelas,BR,76.46,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
284,Kargasok,RU,63.82,scattered clouds,59.0556,80.8572,Hotel Kargasok
286,Kuala Terengganu,MY,80.55,overcast clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
287,La Pila,MX,64.08,clear sky,22.05,-100.8667,Hotel Zar San Luis Potosi
288,Kissidougou,GN,80.26,broken clouds,9.1848,-10.0999,Hôtel Mantis
289,Tomatlan,MX,84.49,scattered clouds,19.9333,-105.25,El Salvial
291,Luba,GQ,77.25,light rain,3.4568,8.5547,
292,Hoopstad,ZA,59.31,clear sky,-27.8327,25.9083,Nel's Rust Self Catering Accommodation
293,Ponta Do Sol,PT,79.0,clear sky,32.6667,-17.1,Hotel do Campo
295,Kondol,RU,73.87,few clouds,52.8189,45.058,
296,Prado,BR,73.89,broken clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
298,Basco,PH,84.2,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
300,Itarema,BR,84.81,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
301,Talakan,RU,74.03,broken clouds,50.3167,130.3667,
302,Nuevo Progreso,MX,86.9,scattered clouds,23.1667,-97.95,Balneario Rio el Paraiso
303,High Level,CA,57.72,overcast clouds,58.5169,-117.136,Days Inn by Wyndham High Level
304,Norden,DE,66.18,light rain,53.6,7.2,Hotel Aquarius
306,Flin Flon,CA,55.53,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
308,Sao Joaquim,BR,66.16,overcast clouds,-28.2939,-49.9317,Pousada Alternativa Cravo e Canela
309,Pahrump,US,86.25,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
